772;arms_factory;1.00;9.60;862.00;3.26;0
772;arms_factory;1.00;9.50;739.00;4.47;0
772;arms_factory;1.00;9.50;618.00;2.31;0
772;arms_factory;1.00;9.60;497.00;3.87;0
772;arms_factory;1.00;10.60;984.00;1.71;0
772;arms_factory;1.00;10.50;1015.00;2.92;0
772;industrial_complex;1.00;9.50;739.00;5.93;0
772;industrial_complex;1.00;9.50;618.00;3.77;0
772;industrial_complex;1.00;9.50;650.00;4.98;0
772;industrial_complex;1.00;10.60;984.00;2.82;0
772;industrial_complex;1.00;10.50;1015.00;4.38;0
772;industrial_complex;1.00;9.80;894.00;0.76;0
772;air_base;1.00;9.50;619.00;3.42;0
772;supply_node;0.00;9.50;727.00;2.78;0
772;supply_node;1.00;10.00;931.00;5.72;0
772;supply_node;1.00;9.50;525.00;2.02;0
772;bunker;1.00;9.80;895.00;1.87;0
772;bunker;1.00;9.50;538.00;4.54;0
772;bunker;1.00;9.50;674.00;1.27;0
772;coastal_bunker;2.00;9.50;642.00;0.04;0
772;coastal_bunker;2.00;9.50;605.00;-3.17;0
772;coastal_bunker;2.00;9.50;842.00;0.02;0
772;stronghold_network;1.00;9.90;926.00;6.00;0
772;dockyard;2.00;9.50;583.00;-3.19;0
772;anti_air_building;1.00;9.50;530.00;5.05;0
772;anti_air_building;1.00;9.50;561.00;0.33;0
772;anti_air_building;1.00;9.70;440.00;4.45;0
772;synthetic_refinery;1.00;9.90;927.00;5.65;0
772;fuel_silo;1.00;9.50;803.00;3.49;0
772;radar_station;2.00;9.50;729.00;2.56;0
772;nuclear_reactor_spawn;1.00;9.50;561.00;1.43;0
772;special_project_facility_spawn;1.00;9.70;441.00;5.56;0
772;special_project_facility_spawn;1.00;9.70;871.00;1.94;0
772;special_project_facility_spawn;1.00;9.50;718.00;3.50;0
772;rocket_site_spawn;1.00;9.50;683.00;6.16;0
772;naval_base_spawn;2.00;9.50;554.00;-3.19;628
772;naval_base_spawn;2.00;9.50;729.00;-3.23;7321
772;naval_base_spawn;2.00;9.50;834.00;0.02;5328
772;floating_harbor;3.63;9.50;766.97;-0.09;7826
772;floating_harbor;3.15;9.50;831.00;-3.12;7829
772;floating_harbor;5.60;9.50;536.50;-0.38;7830
1;arms_factory;2046.00;10.00;606.00;5.59;0
1;arms_factory;1882.00;10.00;600.00;0.87;0
1;arms_factory;1926.00;9.90;616.00;4.99;0
1;arms_factory;2044.00;10.20;632.00;1.38;0
